collision_id,crash_date,crash_time,borough,latitude,longitude
4486660,2021-12-14,08:17:00,BRONX,40.86816,-73.83148
4486635,2021-12-14,23:10:00,QUEENS,40.66684,-73.78941
4486991,2021-12-14,20:03:00,BROOKLYN,40.65068,-73.95881
4487040,2021-12-11,19:43:00,BRONX,40.87262,-73.904686
4487001,2021-12-13,17:40:00,STATEN ISLAND,40.63165,-74.08762
4486516,2021-12-14,17:31:00,BROOKLYN,40.623104,-73.95809
4487052,2021-12-14,12:54:00,BROOKLYN,40.687534,-73.9775
4486556,2021-12-14,17:15:00,BROOKLYN,40.710957,-73.951126
4521853,2022-04-24,15:35:00,MANHATTAN,40.767242,-73.986206
4522228,2022-04-22,12:00:00,BROOKLYN,40.62417,-73.97048
4522167,2022-04-24,04:20:00,BROOKLYN,40.692356,-73.94282
4522136,2022-04-12,19:56:00,BROOKLYN,40.65011,-73.930214
4521590,2022-04-24,15:21:00,QUEENS,40.745235,-73.937706
4521684,2022-04-24,21:00:00,QUEENS,40.758705,-73.93793
4485150,2021-12-09,20:20:00,BROOKLYN,40.59207,-73.96299
4485026,2021-12-09,02:45:00,QUEENS,40.653023,-73.73895
4485355,2021-12-09,23:15:00,BROOKLYN,40.640835,-73.98967
4484852,2021-12-08,19:30:00,MANHATTAN,40.76175,-73.96899
4485542,2021-12-08,12:00:00,MANHATTAN,40.736614,-73.9951
4485090,2021-12-09,10:13:00,BROOKLYN,40.638523,-73.92607
4513935,2022-03-26,01:02:00,MANHATTAN,40.797836,-73.96946
4513794,2022-03-26,16:02:00,QUEENS,40.734375,-73.87342
4514267,2022-03-26,16:05:00,QUEENS,40.699947,-73.736626
4514237,2022-03-21,12:05:00,MANHATTAN,40.75632,-73.999275
4514075,2022-03-26,12:18:00,BRONX,40.88839,-73.84666
4514202,2022-03-26,15:45:00,BRONX,40.833965,-73.8629
4513874,2022-03-26,14:05:00,BROOKLYN,40.635063,-73.94788
4514323,2022-03-10,08:30:00,BROOKLYN,40.676403,-73.96287
4514182,2022-03-24,23:00:00,BRONX,40.829777,-73.85055
4513663,2022-03-26,11:50:00,BROOKLYN,40.635563,-73.89577
4513565,2022-03-26,13:48:00,MANHATTAN,40.835037,-73.93979
4513637,2022-03-26,23:45:00,QUEENS,40.742508,-73.91788
4513833,2022-03-26,16:00:00,BROOKLYN,40.67046,-73.88788
4513887,2022-03-26,23:17:00,MANHATTAN,40.72224,-73.9863
4514376,2022-03-25,18:13:00,BROOKLYN,40.63654,-73.97707
4513982,2022-03-26,20:10:00,BRONX,40.831055,-73.905846
4513664,2022-03-26,03:05:00,BROOKLYN,40.63947,-73.902756
4513725,2022-03-26,04:34:00,BRONX,40.86173,-73.91182
4513803,2022-03-26,17:54:00,BROOKLYN,40.645718,-73.95002
4513735,2022-03-26,19:50:00,MANHATTAN,40.730145,-73.99781
4514367,2022-03-25,08:45:00,BROOKLYN,40.624622,-73.97598
4513860,2022-03-26,16:40:00,BROOKLYN,40.68651,-73.98378
4514302,2022-03-20,10:34:00,MANHATTAN,40.778805,-73.974075
4514326,2022-03-26,17:29:00,BROOKLYN,40.668797,-73.93113
4513739,2022-03-26,02:10:00,MANHATTAN,40.754707,-73.99164
4513701,2022-03-26,13:20:00,STATEN ISLAND,40.609768,-74.06969
4514046,2022-03-26,13:28:00,BROOKLYN,40.701637,-73.942276
4513772,2022-03-26,21:29:00,QUEENS,40.726463,-73.85943
4514221,2022-03-25,13:21:00,BRONX,40.856434,-73.886826
4514277,2022-03-22,08:20:00,BRONX,40.87151,-73.87057
4513994,2022-03-26,03:23:00,BRONX,40.88399,-73.82641
4485893,2021-12-10,08:50:00,BRONX,40.8176,-73.90373
4485153,2021-12-09,17:00:00,MANHATTAN,40.76551,-73.97795
4456087,2021-09-11,17:15:00,STATEN ISLAND,40.629475,-74.1123
4456608,2021-07-08,17:17:00,STATEN ISLAND,40.60203,-74.09572
4456735,2021-09-09,11:39:00,STATEN ISLAND,40.56692,-74.116234
4455941,2021-09-11,15:00:00,QUEENS,40.722515,-73.73332
4456778,2021-09-10,10:20:00,QUEENS,40.692127,-73.83484
4455894,2021-09-11,18:50:00,BRONX,40.817795,-73.89319
4455969,2021-09-11,05:30:00,QUEENS,40.753994,-73.94244
4455841,2021-09-11,12:55:00,MANHATTAN,40.724846,-73.999
4456683,2021-07-08,15:30:00,BROOKLYN,40.64366,-73.90067
4456865,2021-09-07,17:35:00,BROOKLYN,40.662037,-73.95077
4456655,2021-07-09,06:51:00,BROOKLYN,40.673676,-73.86576
4456058,2021-09-11,21:00:00,MANHATTAN,40.751442,-73.97606
4456600,2021-07-08,14:30:00,BRONX,40.86514,-73.801544
4456592,2021-07-04,00:58:00,BROOKLYN,40.731544,-73.955315
4456140,2021-09-11,02:38:00,QUEENS,40.683323,-73.80648
4456577,2021-07-04,21:00:00,BROOKLYN,40.732006,-73.95795
4456200,2021-09-11,18:00:00,BROOKLYN,40.6544,-73.92044
