"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4408154","BROOKLYN","2021-04-15","12:30:00","Sedan","No additional car involved","No additional car involved","Illnes","No additional car involved","No additional car involved"
"4407938","QUEENS","2021-04-14","13:36:00","Pick-up Truck","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4408233","BROOKLYN","2021-03-28","18:30:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407990","QUEENS","2021-04-12","20:00:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408331","BROOKLYN","2021-04-16","15:45:00","Sedan","Bike","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407843","MANHATTAN","2021-04-14","23:32:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407506","BROOKLYN","2021-04-14","14:25:00","Taxi","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407359","BROOKLYN","2021-04-14","15:34:00","Sedan","No additional car involved","No additional car involved","Reaction to Uninvolved Vehicle","No additional car involved","No additional car involved"
"4407857","BROOKLYN","2021-04-16","15:12:00","Sedan","Bike","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407788","QUEENS","2021-04-14","10:30:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407686","BRONX","2021-04-15","16:54:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4408068","BROOKLYN","2021-04-16","11:38:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407353","BROOKLYN","2021-04-14","13:07:00","Bike","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4407296","BROOKLYN","2021-04-14","09:50:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407804","BROOKLYN","2021-04-13","09:35:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4407795","BROOKLYN","2021-04-16","09:40:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407347","QUEENS","2021-04-14","12:00:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4407612","QUEENS","2021-04-15","16:10:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407864","QUEENS","2021-04-16","09:29:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4408389","QUEENS","2021-04-13","08:24:00","Sedan","Station Wagon/Sport Utility Vehicle","Sedan","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4456714","BRONX","2021-07-09","14:19:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","Other Vehicular","No additional car involved"
"4408197","BRONX","2021-04-16","20:17:00","E-Bike","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407847","STATEN ISLAND","2021-04-15","16:08:00","Station Wagon/Sport Utility Vehicle","Van","No additional car involved","Driver Inexperience","Turning Improperly","No additional car involved"
"4407668","QUEENS","2021-04-15","20:29:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","View Obstructed/Limited","No additional car involved"
"4407998","BROOKLYN","2021-04-16","09:35:00","Sedan","Taxi","No additional car involved","Unsafe Speed","Turning Improperly","No additional car involved"
"4407410","QUEENS","2021-04-15","00:08:00","scooter","No additional car involved","No additional car involved","Aggressive Driving/Road Rage","No additional car involved","No additional car involved"
"4408095","BRONX","2021-04-13","16:49:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4456465","BRONX","2021-09-11","21:00:00","E-Bike","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407904","QUEENS","2021-04-15","15:05:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408226","BROOKLYN","2021-04-02","22:20:00","Station Wagon/Sport Utility Vehicle","E-Bike","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407743","BROOKLYN","2021-04-14","22:32:00","Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407676","QUEENS","2021-04-15","17:03:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407699","BROOKLYN","2021-04-15","16:20:00","Sedan","Sedan","No additional car involved","Other Vehicular","Following Too Closely","No additional car involved"
"4456516","MANHATTAN","2021-09-09","16:45:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407510","BRONX","2021-04-14","12:12:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407992","QUEENS","2021-04-05","09:15:00","Sedan","No additional car involved","No additional car involved","Backing Unsafely","No additional car involved","No additional car involved"
"4408221","BROOKLYN","2021-04-15","09:00:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4408030","MANHATTAN","2021-04-10","11:15:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407646","STATEN ISLAND","2021-04-15","15:34:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407427","BROOKLYN","2021-04-14","05:39:00","Sedan","Sedan","Sedan","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407341","QUEENS","2021-04-14","10:10:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4408300","BRONX","2021-04-10","22:06:00","Taxi","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4407768","BROOKLYN","2021-04-13","08:04:00","Sedan","E-Scooter","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407680","BRONX","2021-04-15","23:06:00","Sedan","Sedan","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4407740","BROOKLYN","2021-04-14","12:47:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Turning Improperly","No additional car involved","No additional car involved"
"4407822","MANHATTAN","2021-04-15","00:00:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
